"document_id","processed_text"
11,"today’ transport hybrid electr vehicl hev vital lower emiss fuel consumpt modern transport studi model simul reconfigur hev origin design powersplit pure seri hybrid electr vehicl reconfigur vehicl intern combust engin complet isol drive wheel function oper generat optim brakespecif fuel consumpt point control shev realtim adapt energi manag strategi call ecmsceso develop highfidel matlabsimulink model reconfigur select vehicl built develop ecmsceso compar model predict control instantan optim control twin delay deep determinist polici gradient soft actor–crit across standard drive cycl find demonstr perform ecmsceso fuel economi overal improv averag compar mpc ioc sac td respect maintain battery’ state charg within accept rang ecmsceso integr disturb observ adapt equival factor real time approach bridg gap determinist reinforc approach offer robust transient load variat low comput demand © author"
12,"increas preval renew energi sourc ress along uncertainti generat characterist conflict econom environment technic object signific increas complex economic–environmental–techn dispatch eetd problem although numer studi propos literatur optim opf econom emiss dispatch eed comprehens multiobject eetd studi account stochast renew generat remain limit mani exist paretobas approach still exhibit insuffici converg poor solut divers lowqual compromis solut address limit paper propos multiobject enhanc honey format moehfo algorithm eetd integr renew energi preserv fivephas basic structur origin hfo moehfo algorithm integr archivebas chaotic dynam select improv phase optim popul divers search capabl converg perform use paretoconsist approach evalu conduct modifi ieee bus system across nine case studi involv two three four object valid except perform moehfo addit robust propos algorithm test use simplifi renew energybas scenario repres specif time year simul result show moehfo satisfi oper safeti constraint consist produc superior pareto front highqual compromis solut compar mohfo nsgaii current literatur conclus studi demonstr moehfo reliabl decisionsupport tool provid user optim balanc practic cost technic safeti complex uncertain system problem © author"
13,"accur paramet extract crucial model proton exchang membran pem fuel cell involv complex nonlinear multivari relationship essenti simul design fault diagnost paper propos modifi version draco lizard optim mdlo techniqu precis extract import pem fuel cell paramet hybrid aim increas effici strike balanc explor exploit efficaci mdlo support extens simul use three commerci avail pem fuel cell system compar perform convent dlo new metaheurist approach drive trainingbas dtbo moss growth skill algorithm soa best fit averag fit worst fit standard deviat converg speed multiplecomparison test among perform indic appli measur cours run accord find mdlo provid best sum squar error sse valu greater accuraci depend speed converg strong fit estim primari paramet runs’ low consist sse values—  w − bcs  w nedstack ps—provid effect robust mdlo © author"
14,"increas scale system develop system oper standard techniqu effici largescal networkconstrain unit commit ncuc urgent need ncuc model can reduc fix binari variabl remov inact constraint acceler whole process tradit heurist datadriven method certain limit case general solut qualiti data scale paper present novel largelanguagemodel llmdriven multipl algorithm evolut method ncuc model reduct base humanexpertdesign constraint reduct variabl reduct infeas solut repair algorithm method employ llms iter refin algorithm generat better whitebox algorithm case studi show propos framework effect generat effici algorithm base case achiev superior solut qualiti signific reduc comput time compar convent method train unseen case © elsevi ltd"
15,"paper propos residu framework bridg gap dc ac optim opf formul dcopf provid tractabl simplifi linear approxim neglect nonlinear ac effect voltag magnitud reactiv loss result infeas oper point overcom limit introduc topologyawar localattent graph neural network learn residu correct requir map dcopf solut acfeas counterpart framework integr dc featur local global level employ physicsawar loss function enforc ac powerflow feasibl oper limit use opfdata benchmark across ieee goc bus system propos model achiev reduct mse × improv acfeas distanc orderofmagnitud runtim gain compar acopf solver maintain robust n− conting result highlight residu effect paradigm acceler acfeas optim comput enabl near real time oper decis make ©"
16,"grow penetr variabl renew energi vre increas voltag stabil concern modern transmiss system particular weak grid limit reactiv support long transmiss corridor studi propos coordin reactiv compens scheme improv static voltag stabil southern sulawesi sulbagsel transmiss network repres develop grid system southeast asia experienc rapid demand growth increas renew integr steadyst simul perform use oper data obtain pt pln bus sulbagsel system vulner buse identifi use lindex analysi voltag collaps proxim load capabl evalu continu –base p–v assess peak load condit result show optim reactiv inject select buse signific enhanc network voltag perform instal mvar bus mandai togeth mvar bus sila bus unaha increas minimum voltag magnitud pu pu addit load buse oper within prefer voltag interv – pu overal instabl indic repres cumul squar lindex valu σl² decreas indic improv systemwid voltag secur furthermor load margin critic bus rise mw mw correspond increas stabil margin demonstr stronger resili futur load growth unlik convent local compens method propos framework appli coordin direct reactiv support across multipl electr weak corridor result broader voltag stabil improv throughout network propos approach provid practic econom feasibl solut transmiss system high renew energi penetr © author publish elsevi ltd open access articl cc licens httpcreativecommonsorglicensesbi"
17,"water qualiti model wqm face enorm uncertainti due princip process complex represent data limit uncertainti can never entir elimin can manag uncertainti assess ua approach enhanc confid model process decis outcom paradigm shift uncertainti analysi model broader ua vital test assumpt evalu model reliabl multipl method assumpt perspect review past decad wqm paper reveal attent uncertainti routin occur coverag uncertainti strongest tradit sourc data parametr structur recommend broader integr method includ scale comparison crossvalid graphic statist perform evalu scenario analysi nonprobabilist assumpt explan choic document record assumpt model evalu exercis improv communic interest group progress also depend comput effici explor assumpt complet ©"
18,"global energi landscap undergo transform mitig climat chang fulfil sustain develop goal sdg target afford reliabl sustain univers access modern energi despit extens adopt residenti photovolta pv system australia sever practic challeng remain includ high electr cost low selfconsumpt pv generat energi access remot region first nation communiti studi propos home energi manag system hem incorpor reinforc rlbase model dynam manag energi flow among residenti pv generat batteri storag system household load grid energi schedul problem formul markov decis process mdp solv use proxim polici ppo agent learn optim dispatch strategi dynam oper condit reward function integr electr cost selfconsumpt ratio scr grid depend gd multiobject search base nondomin sort genet algorithm ii nsgaii employ determin suitabl combin reward weight better repres real residenti oper model incorpor batteri degrad grid outag scenario system simul simul result base realist australian residenti load profil tariff structur demonstr satisfactori oper perform result demonstr propos hem can adapt household differ pv generat demand pattern coordin pv–batteri oper improv util local generat solar energi reduc relianc grid electr analysi highlight tradeoff batteri util longterm degrad well potenti pv–batteri system improv household energi resili grid outag event address practic implement sdg within australian context propos hem offer critic polici social econom implic system enhanc afford signific reduc household electr bill shorten invest payback period support sustain increas local renew energi util improv energi access support stabl costeffect electr remot underserv communiti polici recommend includ suggest stabl incent batteri storag solar feedin tariff promot integr hem solut advanc equit energi access © author"
19,"generat model known strong datagener capabl wide use scenario generat renew sourc like wind howev wind data pattern becom complex singlemod generat model often struggl captur featur fail generat data target pattern paper propos conditionalgenerationpredictionoptim framework three condit generat model devis compar creat wind powerrel data differ meteorolog wind pattern generat data use train windpatternspecif predict model upper limit wind embed model predict control framework dispatch propos framework valid ieee bus bus system consid natur gas generat ramp limit furthermor improv train mechan condit diffus model devis speed train process result demonstr improv predict accuraci econom perform © elsevi ltd"
20,"standard harri hawk hho algorithm often suffer prematur converg stagnat complex highdimension problem particular wrapperbas featur select fs medic diagnosi cost fit evalu demand effici search strategi paper propos modifi hho mhho integr three synergist mechan leaderguid perch lgp introduc leader bias explor acceler movement toward promis region ii adapt decept factor adf dynam scale lévyflight intens escap decept local optima iii hierarch attack strategi replac hard besieg phase mentorguid exploit step mitig swarm clump refin local search dualdomain evalu conduct experi seri mhho statist outperform standard hho benchmark function expect cost higher comput time experi seri involv wrapperbas fs medic dataset mhho achiev higher mean classif accuraci dataset exhibit enhanc stabil result favor accuracy–spars tradeoff minim yet highperform featur subset friedman’ test confirm signific global differ p holm’ posthoc analysi verifi lgp adf contribut signific improv standard hho overal mhho rank among top perform approxim half evalu benchmark demonstr effect robust accur optim © author"
21,"although electr market optim oper minim cost planner make longterm invest transmiss generat batteri storag capac may also consid wide array object carbon emiss consum surplus generat profit optim object costbas market environ exampl bilevel capac expans plan bep nonconvex problem hard solv general inspir success techniqu propos stochast gradient descent algorithm base implicit differenti find local optim solut largescal bep problem demonstr approach scale well highresolut grid model mani scenario outperform standard reformulationbas approach least x solv case million variabl just hour addit gradient descent guarante local optim solut consist observ optim gap – empir final illustr planner can use warm start rapid studi expans outcom wide varieti technolog cost weather electrif assumpt ©"
22,"proport renew energi sourc ress rise predict deviat low secur margin becom critic intraday stage system oper must revis generat schedul roll basi everi minut lookahead econom dispatch la involv roll tempor high uncertainti multipl decisionmak variabl need safe robust decisionmak constrain comput speed thus paper propos fastsolv method robust lookahead econom dispatch rla first hybrid datamodeldriven framework construct use datadriven method identifi inact constraint modeldriven approach ensur secur decis smallsampl scenario spars invoc provid feedback enhanc datadriven model next robust safe reinforc rl algorithm propos datadriven modul consid random safeti constraint system construct stateadversari constrain markov decis process sacmdp observ adversari use search worstcas scenario within uncertain interv train parallel rl agent final experiment result demonstr ieee bus bus case rla n constraint solv less seconds—approxim fortieth time requir pure modeldriven method © ieee"
23,"osteonecrosi sever complic system lupus erythematosus sle associ high disabl rate earli identif crucial challeng due nonspecif clinic featur noisi redund data tradit algorithm often struggl effect process complex inform due suscept local optima limit capabl handl highdimension nois ineffici search mechan rug featur space address propos gsma featur select method structur improv slime mould algorithm sma specif gsma use gaussian mixtur model gmm optim search process probabilist foundat enabl subspaceguid mutat mechan leverag eigenvalu decomposit filter nois drive direct search within critic subspac gsma demonstr superior perform cec benchmark function public medic dataset appli clinic dataset sle patient algorithm achiev accuraci specif sensit success identifi high predict featur osteonecrosi diagnosi find demonstr gsma translat theoret robust practic efficaci offer high promis tool computeraid clinic screen ©"
24,"prolifer renew energi resourc impos demand electr distribut infrastructur tradit lowfrequ transform equip fulfil convent transform oper high energi effici offer zero activ control inher qualiti manag support hybrid flow solid state transform sst electronicsbas transform incorpor medium frequenc galvan isol emerg promis solut enabl harmon suppress dynam voltag regul reactiv compens interfac ac dc segment grid despit strong research interest span convert topolog control strategi semiconductor devic prototyp demonstr exist review treat sst fragment manner three area critic literatur gap persist logic progress sst design framework connect fundament paramet topolog select unifi multidimension classif system structur tool assess technolog matur deploy readi across various sst solut review paper address gap via five origin contribut logic sst design framework progress degre freedom class topolog select b fourdimension taxonomi classifi ssts integr level function technolog applic c structur evalu matrix assess design tradeoff matur stakehold relev d comprehens review control strategi e critic analysi deploy barrier alongsid seven priorit futur research direct review provid structur unifi logic progress framework research system design polici maker work nextgener energi convers manag infrastructur © author"
25,"fals data inject attack fdia pose critic cybersecur threat system state estim manipul measur data evad tradit residualbas detect induc erron oper decis paper propos physicsinform hybrid attent network pihan novel deep framework robust realtim state correct sophist attack scenario pihan integr three synergist innov first physicsinform loss function emb voltageflow consist constraint direct train object ensur correct measur satisfi network topolog physic correl without reli unobserv phase angl second dual hybrid attent mechan combin graph attent network topologyawar spatial featur extract tempor selfattent modul captur timevari attack dynam third confidenceweight adapt correct strategi moder correct strength base predict uncertainti valid ieee bus bus benchmark system pihan demonstr superior perform topologycoordin timevari fdia experiment result show pihan achiev rmse improv gcnae transformera lstmae topologycoordin attack maintain correct rate physicscompli score averag across attack scenario pihan reduc rmse relat gcnae transformera lstmae respect ablat studi confirm physicsinform loss yield largest singl contribut model perform correspond reduct rmse remov scalabl demonstr bus system correct rate improv © author publish elsevi ltd open access articl cc licens httpcreativecommonsorglicensesbi"
26,"batterysupercapacitor hybrid energi storag system can reduc transient load lithiumion batteri electr vehicl benefit strong depend energymanag paramet use distribut two storag devic studi propos decisionflux dfo simulationdriven feasibledesc framework calibr paramet batterysupercapacitor energi manag strategi full drivingcycl constraint dfo use induc oper trace candid decis vector compris batteri state charg supercapacitor state charg limit voltag limit endofcycl recoveri constraint constraint satisfact consid admiss condit term object function object combin normal rms batteri normal energyloss indic accept updat feasibl tracelevel transit optim paramet comput offlin deploy realtim control layer evalu method perform artemi drive cycl simul laboratoryscal control valid compar ga pso rbem mpc srcpo dsceo adrlem benchmark dfo produc lowest rms batteri report case studi maintain feasibl across repeat run age analysi indic modelestim lifetim equival cycl capac threshold interpret compar modelbas durabl estim rather direct longterm lifetim measur result indic trace level feasibl gate can use enhanc repeat batteri stress mitig energi manag effici © author"
27,"retrofit usersid firefight water tank distribut water thermal energi storag dwtes offer costeffect way enhanc flexibl interconnect district cool system dcss howev also make dayahead oper intract cool network constraint involv mixedinteg strong nonlinear thermohydraul coupl induc hydraul balanc address issu work propos constraint learningbas oper framework origin mixedinteg nonlinear cool network constraint block approxim neural surrog repres learn mixedinteg linear counterpart specif two spars mixtureofexpert teacher surrog train predict thermohydraul feasibl margin network pump respect learn map distil hourspecif compact student network reduc model complex maintain approxim accuraci subsequ distil student embed learn mixedinteg linear constraint dayahead dcs oper therebi make problem tractabl case studi real hengqin dcs demonstr propos framework achiev surrog accuraci reliabl feasibl identif consist keep solv time dayahead oper problem within min current system full test set retrofit dwtes reduc energi cost increas effect cool capac margin largescal futur system also remain practic solvabl maximum solv time min © elsevi ltd"
28,"powertoga pg system offer pathway integr variabl renew electr convert surplus hydrogen support multivector energi suppli howev mani pgintegr energi system pgi studi joint consid electrolyz byproduct includ oxygen recover heat togeth freshwat requir hydrogen product studi examin whether simultan hydrogen product oxygen valor heat recoveri water consumpt multienergi storag can improv econom oper perform renewablebas pgi twostag stochast mixedinteg linear program milp framework develop year photovoltaicdriven pgi compris pg unit pv panel electr boiler absorpt electr chiller electr thermal hydrogen storag system uncertainti demand solar irradi ambient temperatur model problem solv pyomo use cbc solver main contribut work lie integr treatment oxygen sale revenu recov heat util water suppli cost fossilfuelfre onsit convers technolog systemlevel energyutil assess within unifi longterm stochast milp plan framework result show byproduct util chang optim size increas absorpt chiller capac mw mw reduc electr chiller capac mw mw uncertainti oxygen sale generat m water suppli cost m stochast increas net present cost npc integr byproduct util increas systemlevel pgi energyutil indic find show consid oxygen sale recov heat water consumpt provid realist assess pgi perform result impli futur pgi deploy model consid byproduct market waterresourc plan detail electrolyz perform model © author"
29,"decarbonis electr system central netzero ambit place increas import localis scalabl solut achiev energi neutral household communiti level offer practic pathway yet oper rooftop pv–batteri microgrid remain challeng variabl tariff structur system constraint paper propos forecastbas dailyupd multiobject fdmo framework oper net zero microgrid nzmgs realworld condit method introduc three key innov strict enforc daili netzero energi balanc ii forecastdriven roll embed error correct iii multiobject formul joint optimis grid exchang batteri dispatch pv curtail use tariffalign penalti signal framework simultan determin optim import export storag curtail decis ensur daili neutral without requir retroact adjust applic repres surplus deficit scenario demonstr fdmo consist prioritis storag utilis curtail strateg coordin grid interact maintain feasibl oper limit highdeficit condit grid import constrain kwh deliv kwh storag highsurplus condit system export kwh store kwh limit curtail kwh result highlight effect propos framework robust practic dispatch strategi solardomin residenti microgrid enabl costeffici oper polici complianc reliabl grid interact demonstr use queenslandspecif data tariff formul fulli transfer across jurisdict substitut local forecast market signal copyright © publish elsevi ltd"
30,"feder emerg promis paradigm enabl privacypreserv collabor intellig across renew energi system allow distribut entiti joint train model without share raw data address critic challeng relat data privaci distribut ownership scalabl communic effici modern energi infrastructur howev renew energi environ introduc uniqu challeng includ statist heterogen tempor nonstationar intermitt connect cyberphys reliabl requir resourceconstrain edg deploy paper present comprehens survey feder renew energi system cover system architectur applic domain algorithm benchmark methodolog deploy challeng connect feder methodolog oper characterist distribut energi infrastructur major applic domain review includ load forecast renew generat predict fault diagnosi distribut energi manag energi trade electr vehicl emerg hydrogenenergi system carbonawar energi applic survey examin person communicationeffici hierarch driftawar approach emphasi suitabl dynam heterogen energi environ public avail dataset evalu metric benchmark practic also analyz highlight limit relat benchmark realism communic constraint tempor drift deploy readi final key open research direct discuss includ physicsinform feder sustain feder digit twin adapt hierarch coordin foundationmodelassist forecast standard benchmark framework overal survey highlight opportun remain challeng deploy feder renew energi system emphas need realist benchmark oper ground valid tighter integr energysystem engin enabl reliabl realworld deploy © elsevi ltd"
31,"system schedul problem solv repeat requir fast comput real time deploy asset setpoint bilevel often employ due abil captur hierarch structur network oper end user howev inher complex bilevel model make repeat solut comput expens address propos surrog model approach predict set activ constraint full bilevel formul therebi signific reduc comput effort rather reli extens sampl uncertain paramet exploit bipartit graph structur problem appli graph neural network gnns learn constraint activ direct leverag intrins geometr depend model evalu end end approach compar surrog object valu comput speedup origin problem benchmark random forest rf feedfoward neural network fnn classifi across rang increas complex test case linear program problem mix integ linear program bilevel problem result show gnn base model encod mathemat properti like complementari slack binari activ reduc model complex achiev x speedup object deviat optim ratio repres superior perform rfs fnn highlight suitabl gnns direct encod mathemat structur model thank inher topolog awar solv complex constraint activ predict task system schedul © ieee"
32,"increas penetr renew energi resourc introduc signific uncertainti oper challeng networkconstrain unit commit paper propos stochast ac networkconstrain unit commit framework cooptim oper cost voltag stabil margin coordin energi storag system incentivebas demand respons phaseshift transform wind uncertainti model via scenariobas stochast program result problem formul linear ac mixedinteg linear program propos framework evalu ieee bus test system result show coordin flexibl resourc reduc total oper cost wind curtail cost compar baselin case adopt econom assumpt benchmark acncuc model without wind uncertainti show account uncertainti increas oper cost – reflect uncertaintyawar schedul addit comparison psomatpow heurist benchmark show propos milp model achiev lower total oper cost case studi pareto analysi demonstr tradeoff econom oper voltag stabil enhanc provid oper altern schedul solut base cost–secur prefer furthermor multiobject analysi reveal clear tradeoff cost voltag stabil select compromis solut achiev approxim maximum vsm cost increas © author"
33,"increas integr distribut sourc primarili clean energi distribut grid structur becom increas complex fault tradit locat method struggl achiev rapid accur fault locat due influenc distribut sourc paper propos fault section locat method base negativesequ compon util negativesequ voltag magnitud primari criterion current direct auxiliari criterion approach effect overcom bidirect interfer caus photovolta sourc integr symmetr fault negativesequ reconstruct method base cell membran genet algorithm propos algorithm find optim solut reconstruct weight coeffici enabl fault locat fault type concurr hierarch dimension reduct appli distribut network partit complex network multipl fault zone signific enhanc comput effici locat model experiment result demonstr method enabl rapid accur fault section locat distribut network incorpor dg resolv limit tradit method adapt bidirect flow caus dg integr © author exclus licenc springer natur singapor pte ltd"
34,"variabl renew energi sourc present major challeng accur evalu maximum dispatch capac virtual plant vpp studi propos scenariodriven framework assess maximum dispatch capac vpp combin wind solar gas storag first hybrid deep model combin adapt graph convolut network agcn convolut neural network cnn long shortterm memori lstm use forecast shortterm wind speed solar irradi load uncertainti model appli random perturb typic winter daili profil second forecast result use construct probabilist ensembl source–load trajectori statist reduc compact set repres scenario preserv key tempor variabl renew generat correl demand multiscenario stochast model use evalu dispatch feasibl across reduc scenario final binari search strategi combin feasibl screen employ determin maximum dispatch capac can reliabl commit across uncertainti condit simul result confirm effect propos method support reliabl econom feasibl capac plan vpp uncertainti © author"
35,"complex cyberphys system cpss requir safeti evalu comput risk assess cra larg comput challeng can address greybox model gbms integr firstprincipl whitebox model wbms datadriven blackbox model bbms differ wbms bbms can use model cps subsystem lead combinatori number possibl gbm altern come differ tradeoff comput burden physic fidel work propos valueofinform voibas procedur identifi best gbm cps cra show procedur applic integr telecommun iptlc infrastructur voidriven gbm altern evalu reduc comput burden keep accur comput risk metric interest identifi © author"
36,"rapid growth ai signific increas data center energi demand place increas pressur grid demand respons dr program util flexibl consum data center help balanc suppli demand grid collabor data center dr particip multipl data center share inform extern coordin improv dispatch qualiti servic workload howev disclos sensit inform usag workload perform untrust third parti rais signific privaci concern address use multiparti comput mpc perform secur dispatch without reveal sensit input standard mpc heavi communic overhead challeng realtim dr requir meet realtim dr requir optim system tailor fixedpoint bitwidth substitut expens divis polynomi approxim newtonraphson iter evalu use mpspdz librari optim yield × fewer communic round × speedup deliv subsecond latenc data center match dispatch accuraci baselin © author exclus licens springer natur switzerland ag"
37,"paper investig probabilist datadriven method short midterm distribut system state forecast support proactiv grid oper compar multipl forecast method integr spatial tempor rang baselin model base standard load profil fulli integr spatiotempor neural network particular evalu atgcn architectur combin graph convolut gate recurr unit tempor attent multihorizon state predict use synthet simbench real lowvoltag grid assess determinist probabilist forecast accuraci well capabl anticip critic oper condit result show pure tempor model alreadi achiev competit forecast perform captur larg share system dynam explicit model spatial–tempor depend improv robust across network among evalu method atgcn achiev stabl perform across grid forecast horizon demonstr potenti transfer framework reliabl uncertaintyawar state forecast futur distribut system © author"
38,"distribut oper integr electr gas system ieg can protect privaci improv oper flexibl howev face challeng inaccur gas model comput ineffici insuffici incent address issu paper propos distribut optim gas dispatch opgd method integr variat inequ cooper game specif develop piecewis tangent linear quasidynam gas network model incorpor line pack effect addit reformul opgd monoton variat inequ mvi solv mvi effici design balanc splittingcontract algorithm bsca final employ incent mechan base bilater shapley valu alloc cooper surplus case studi demonstr propos method improv accuraci gas model enhanc comput effici foster cooper © elsevi ltd"
